"sequence","asset","duration","avg_entry","cost","payout","pnl","trade_count","won"
"313","btc","5m","0.26","0.5477","2.0","1.4523000000000001","1","True"
"314","btc","5m","0.46","1.04178","2.18","1.1382200000000002","1","True"
"315","btc","5m","0.67","0.98086","0.0","-0.98086","1","False"
"316","btc","5m","0.04","1.2384","30.96","29.721600000000002","1","True"
"317","btc","5m","0.09","3.0006000000000004","33.34","30.339400000000005","2","True"
"318","btc","5m","0.04","1.0","0.0","-1.0","1","False"
"319","btc","5m","0.06","0.71235","0.0","-0.71235","1","False"
"320","btc","5m","0.19","1.0013","0.0","-1.0013","2","False"
"321","btc","5m","0.09","0.890109","9.8901","8.999991","1","True"
"322","btc","5m","0.17","4.05993","0.0","-4.05993","2","False"
"323","btc","5m","0.18","3.0006","16.67","13.669400000000001","1","True"
"324","btc","5m","0.16","0.008","0.05","0.042","1","True"
"325","btc","5m","0.175","3.6804900000000003","0.0","-3.6804900000000003","2","False"
"326","btc","5m","0.11","3.1895300000000004","0.0","-3.1895300000000004","2","False"
"327","btc","5m","0.19","1.05969","0.0","-1.05969","1","False"
"328","btc","5m","0.16","3.998552","0.0","-3.998552","3","False"
"329","btc","5m","0.17000000585000002","0.99964","0.0","-0.99964","2","False"
"330","btc","5m","0.10150349650000001","3.6668600000000002","0.0","-3.6668600000000002","2","False"
"331","btc","5m","0.135","3.0016","0.0","-3.0016","2","False"
"332","btc","5m","0.16","1.0","6.25","5.25","1","True"
"333","btc","5m","0.02","2.999214","0.0","-2.999214","7","False"
"334","btc","5m","0.14","1.001","7.15","6.149000000000001","1","True"
"335","btc","5m","0.05","2.2559199999999997","0.0","-2.2559199999999997","2","False"
"336","btc","5m","0.11","3.0019","27.29","24.2881","2","True"
"337","btc","5m","0.105","2.21567","0.0","-2.21567","2","False"
"338","btc","5m","0.1800000164","0.219512","1.219511","0.999999","1","True"
"339","btc","5m","0.14","3.000753","0.0","-3.000753","3","False"
"340","btc","5m","0.1500000087","0.999352","0.0","-0.999352","2","False"
"341","btc","5m","0.13","3.0017","0.0","-3.0017","2","False"
"342","btc","5m","0.04","3.0","0.0","-3.0","2","False"
"343","btc","5m","0.18","0.189","1.05","0.861","1","True"
"344","btc","5m","0.16666666666666666","1.468328","8.808925","7.340597000000001","3","True"
"345","btc","5m","0.15000000432","6.0032879999999995","0.0","-6.0032879999999995","5","False"
"346","btc","5m","0.16999999999999998","2.5931","15.27","12.6769","2","True"
"347","btc","5m","0.095","0.052166000000000004","1.11165","1.059484","2","True"
"348","btc","5m","0.0333333336","2.000073","0.0","-2.000073","3","False"
"349","btc","5m","0.12846155721538463","11.887711999999999","0.0","-11.887711999999999","13","False"
"350","btc","5m","0.13","2.6038699999999997","0.0","-2.6038699999999997","3","False"
"351","btc","5m","0.135","1.84718","0.0","-1.84718","2","False"
"352","btc","5m","0.0662500193875","4.382880999999999","0.0","-4.382880999999999","16","False"
"353","btc","5m","0.175000047475","0.5916859999999999","0.0","-0.5916859999999999","4","False"
"354","btc","5m","0.14","6.0038","0.0","-6.0038","6","False"
"355","btc","5m","0.15","1.0005","0.0","-1.0005","1","False"
"356","btc","5m","0.3699998858","2.0906979999999997","5.409352999999999","3.3186549999999997","2","True"
"357","btc","5m","0.01","2.14256","0.0","-2.14256","2","False"
"358","btc","5m","0.16","1.0","6.25","5.25","1","True"
"359","btc","5m","0.18499999999999997","9.0073","0.0","-9.0073","6","False"
"360","btc","5m","0.01","4.28512","0.0","-4.28512","4","False"
"361","btc","5m","0.17","1.89886","0.0","-1.89886","2","False"
"362","btc","5m","0.19","2.0609900000000003","10.54","8.479009999999999","2","True"
"363","btc","5m","0.1700000082","0.999927","0.0","-0.999927","2","False"
"364","btc","5m","0.12000001173333334","1.0003630000000001","0.0","-1.0003630000000001","3","False"
"365","btc","5m","0.13550359709999998","1.59899","0.0","-1.59899","2","False"
"366","btc","5m","0.16","1.0","6.25","5.25","1","True"
"367","btc","5m","0.15","1.6181400000000001","0.0","-1.6181400000000001","2","False"
"368","btc","5m","0.15","1.98974","0.0","-1.98974","2","False"
"369","btc","5m","0.18","1.0008","0.0","-1.0008","1","False"
"370","btc","5m","0.1250000073","2.0614489999999996","0.0","-2.0614489999999996","4","False"
"371","btc","5m","0.13","2.002","0.0","-2.002","2","False"
"372","btc","5m","0.06","1.0002","0.0","-1.0002","1","False"
"373","btc","5m","0.4099998237","1.042469","0.0","-1.042469","1","False"
"374","btc","5m","0.095","1.26485","0.0","-1.26485","2","False"
"375","btc","5m","0.066250004375","8.001284","0.0","-8.001284","8","False"
"376","btc","5m","0.3899998479","1.043909","2.564101","1.520192","1","True"
"377","btc","5m","0.26","0.94479","0.0","-0.94479","1","False"
"378","btc","5m","0.41999982584999995","2.083498","0.0","-2.083498","2","False"
"379","btc","5m","0.32333328263333333","3.0449089999999996","9.464101","6.419192","3","True"
"380","btc","5m","0.01","4.28512","0.0","-4.28512","3","False"
"381","btc","5m","0.02","2.0","0.0","-2.0","2","False"
"382","btc","5m","0.25","0.97758","0.0","-0.97758","1","False"
"383","btc","5m","0.19000000949999998","2.0010280000000003","10.531725999999999","8.530698","3","True"
"384","btc","5m","0.22","1.05721","0.0","-1.05721","1","False"
"385","btc","5m","0.20000001826","3.8271290000000002","0.0","-3.8271290000000002","5","False"
"386","btc","5m","0.32","1.04896","3.125","2.07604","1","True"
"387","btc","5m","0.4499997975","1.039589","0.0","-1.039589","1","False"
"388","btc","5m","0.2849999506","2.045929","0.0","-2.045929","2","False"
"389","btc","5m","0.16","1.0","0.0","-1.0","1","False"
"390","btc","5m","0.334999969725","4.112636","0.0","-4.112636","4","False"
"391","btc","5m","0.16","1.0","6.25","5.25","2","True"
"392","btc","5m","0.19","3.0039","0.0","-3.0039","7","False"
"393","btc","5m","0.1","1.0","0.0","-1.0","1","False"
"394","btc","5m","0.06875","2.69435","0.0","-2.69435","4","False"
"395","btc","5m","0.3199998804","3.078538","0.0","-3.078538","4","False"
"396","btc","5m","0.4","2.0864","0.0","-2.0864","2","False"
"397","btc","5m","0.04","1.9997829999999999","0.0","-1.9997829999999999","4","False"
